Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Cryptantha intermedia,accepted,57699,Cryptantha intermedia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Cryptantha,intermedia
Cucumis melo,accepted,76538,Cucumis melo,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Benincaseae,Cucumis,melo
Cucurbita pepo,accepted,76541,Cucurbita pepo,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Cucurbiteae,Cucurbita,pepo
Cycloloma atriplicifolium,unaccepted,1452518,Dysphania atriplicifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Dysphanieae,Dysphania,atriplicifolia
Cydonia oblonga,accepted,82853,Cydonia oblonga,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Cydonia,oblonga
Cynara cardunculus subsp. cardunculus,accepted,57566,Cynara cardunculus cardunculus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cynara,cardunculus
Cynara scolymus,unaccepted,861815,Cynara cardunculus scolymus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cynara,cardunculus
Cyperus acuminatus,accepted,76582,Cyperus acuminatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,acuminatus
Cyperus eragrostis,accepted,59055,Cyperus eragrostis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,eragrostis
Cyperus retrorsus,accepted,161485,Cyperus retrorsus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Cyperus,retrorsus
Cytisus monspessulanus,unknown,,,,,,,,,,,,,,,,,,
Cytisus multiflorus,accepted,76596,Cytisus multiflorus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,multiflorus
Cytisus villosus,accepted,161579,Cytisus villosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,villosus
Daboecia cantabrica,accepted,371651,Daboecia cantabrica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Ericeae,Daboecia,cantabrica
Datura wrightii,accepted,58331,Datura wrightii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Datureae,Datura,wrightii
Deutzia scabra 'Plena',accepted,161761,Deutzia scabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cornales,,,,Hydrangeaceae,,,Deutzia,scabra
Dianthus gratianopolitanus,accepted,85439,Dianthus gratianopolitanus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Dianthus,gratianopolitanus
Digitalis grandiflora,accepted,123625,Digitalis grandiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,grandiflora
Digitalis lanata,accepted,147321,Digitalis lanata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,lanata
Digitalis lutea,accepted,161899,Digitalis lutea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,lutea
Diplotaxis muralis,accepted,76664,Diplotaxis muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Diplotaxis,muralis
Dipsacus laciniatus,accepted,117438,Dipsacus laciniatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,laciniatus
Doronicum orientale,unaccepted,857164,Doronicum caucasicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,caucasicum
Doronicum x plantagineum,accepted,61305,Doronicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,
Dracopis amplexicaulis,unaccepted,200073,Rudbeckia amplexicaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Rudbeckia,amplexicaulis
Echinops exaltatus,accepted,162201,Echinops exaltatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Echinops,exaltatus
Ehrharta erecta,accepted,64140,Ehrharta erecta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Oryzoideae,Ehrharteae,Ehrharta,erecta
Elaeagnus multiflora,accepted,162213,Elaeagnus multiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Elaeagnus,multiflora
Elaeagnus umbellata,accepted,64697,Elaeagnus umbellata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Elaeagnus,umbellata
Eleocharis compressa,accepted,162236,Eleocharis compressa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,compressa
Eleocharis compressa var. compressa,accepted,1426753,Eleocharis compressa compressa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,compressa
Eleocharis tenuis,accepted,76788,Eleocharis tenuis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,tenuis
Eleocharis tenuis var. verrucosa,accepted,240482,Eleocharis tenuis verrucosa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,tenuis
Eleusine indica,accepted,76790,Eleusine indica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Cynodonteae,Eleusine,indica
Elodea callitrichoides,accepted,366210,Elodea callitrichoides,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Hydrocharitaceae,,,Elodea,callitrichoides
Elymus dahuricus var. dahuricus,invalid,873887,Elymus dahuricus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Elymus,dahuricus
Epilobium glareosum,unaccepted,76828,Epilobium clavatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Epilobium,clavatum
Epilobium komarovianum,accepted,359860,Epilobium komarovianum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Epilobium,komarovianum
Eragrostis curvula,accepted,76850,Eragrostis curvula,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Eragrostideae,Eragrostis,curvula
Eragrostis tef,accepted,145597,Eragrostis tef,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Eragrostideae,Eragrostis,tef
Erechtites hieraciifolia,unaccepted,130888,Erechtites hieraciifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Erechtites,hieraciifolius
Erica cinerea,accepted,55775,Erica cinerea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Ericeae,Erica,cinerea
Erodium moschatum,accepted,57092,Erodium moschatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Erodium,moschatum
Eruca vesicaria subsp. sativa,unaccepted,284707,Eruca sativa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Eruca,sativa
Eryngium giganteum,accepted,359455,Eryngium giganteum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Eryngium,giganteum
Erysimum repandum,accepted,77073,Erysimum repandum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Erysimeae,Erysimum,repandum
Eupatorium altissimum,accepted,119135,Eupatorium altissimum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Eupatorieae,Eupatorium,altissimum
Euphorbia characias subsp. wulfenii,accepted,414340,Euphorbia characias wulfenii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,characias
Euphorbia marginata,accepted,120507,Euphorbia marginata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,marginata
Euphorbia oblongata,accepted,77117,Euphorbia oblongata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,oblongata
Euphorbia serrulata,unaccepted,401781,Euphorbia stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,stricta
Euphorbia vermiculata,accepted,204171,Euphorbia vermiculata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,vermiculata
Eutrochium maculatum var. maculatum,accepted,355617,Eutrochium maculatum maculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Eupatorieae,Eutrochium,maculatum
Fagopyrum tataricum,accepted,162931,Fagopyrum tataricum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Fagopyreae,Fagopyrum,tataricum
Fallopia baldschuanica,accepted,77128,Fallopia baldschuanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Polygoneae,Fallopia,baldschuanica
Fallopia dumetorum,accepted,204320,Fallopia dumetorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Polygoneae,Fallopia,dumetorum
Festuca cinerea,accepted,934065,Festuca cinerea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Festuca,cinerea
Filipendula ulmaria,accepted,63134,Filipendula ulmaria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Ulmarieae,Filipendula,ulmaria
Filipendula vulgaris,accepted,62020,Filipendula vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Ulmarieae,Filipendula,vulgaris
Forsythia x intermedia,accepted,60580,Forsythia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Oleaceae,,,Forsythia,
Fraxinus excelsior,accepted,125440,Fraxinus excelsior,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Oleaceae,,,Fraxinus,excelsior
Galeopsis speciosa,accepted,163165,Galeopsis speciosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,,Galeopsis,speciosa
Galium divaricatum,accepted,77193,Galium divaricatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,divaricatum
Galium murale,accepted,59005,Galium murale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,murale
Gamochaeta pensylvanica,accepted,77221,Gamochaeta pensylvanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Gamochaeta,pensylvanica
Gaura lindheimeri,unaccepted,590726,Oenothera lindheimeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,lindheimeri
Gaura mollis,unaccepted,78241,Oenothera curtiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Oenothera,curtiflora
Genista pilosa,accepted,371833,Genista pilosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,pilosa
Genista sagittalis,accepted,139079,Genista sagittalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,sagittalis
Geranium columbinum,accepted,77253,Geranium columbinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,columbinum
Geranium macrorrhizum,accepted,320685,Geranium macrorrhizum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,macrorrhizum
Geranium pratense,accepted,55722,Geranium pratense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,pratense
Geranium pyrenaicum,accepted,77259,Geranium pyrenaicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,pyrenaicum
Geranium sanguineum,accepted,129853,Geranium sanguineum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,sanguineum
Geranium sibiricum,accepted,163265,Geranium sibiricum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,sibiricum
Gilia achilleifolia,accepted,51098,Gilia achilleifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Gilia,achilleifolia
Glandularia x hybrida,accepted,81794,Glandularia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Glandularia,
Guizotia abyssinica,accepted,163437,Guizotia abyssinica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Millerieae,Guizotia,abyssinica
Gunnera tinctoria,accepted,77310,Gunnera tinctoria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gunnerales,,,,Gunneraceae,,,Gunnera,tinctoria
Gypsophila elegans,accepted,77314,Gypsophila elegans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Gypsophila,elegans
Gypsophila muralis,unaccepted,1092837,Psammophiliella muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Psammophiliella,muralis
Hedera colchica,accepted,163548,Hedera colchica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,,,Hedera,colchica
Helianthus petiolaris,accepted,77360,Helianthus petiolaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,petiolaris
Helianthus petiolaris subsp. petiolaris,accepted,79934,Helianthus petiolaris petiolaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,petiolaris
Helianthus x laetiflorus,accepted,56955,Helianthus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,
Heliopsis helianthoides,accepted,130382,Heliopsis helianthoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Heliopsis,helianthoides
Heliopsis helianthoides var. scabra,accepted,240988,Heliopsis helianthoides scabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Heliopsis,helianthoides
Hemerocallis fulva,accepted,126583,Hemerocallis fulva,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asphodelaceae,Hemerocallidoideae,,Hemerocallis,fulva
Heracleum sphondylium,accepted,163682,Heracleum sphondylium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Tordylieae,Heracleum,sphondylium
Herniaria glabra,accepted,163692,Herniaria glabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Paronychieae,Herniaria,glabra
Heterotheca subaxillaris,accepted,77398,Heterotheca subaxillaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Heterotheca,subaxillaris
Heterotheca subaxillaris subsp. subaxillaris,accepted,315522,Heterotheca subaxillaris subaxillaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Heterotheca,subaxillaris
Hibiscus trionum,accepted,77411,Hibiscus trionum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Hibisceae,Hibiscus,trionum
Hieracium inops,unknown,,,,,,,,,,,,,,,,,,
Hieracium lactucella,unaccepted,451913,Pilosella lactucella,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,lactucella
Hippophae rhamnoides,accepted,163812,Hippophae rhamnoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Hippophae,rhamnoides
Hydrocotyle sibthorpioides,accepted,128684,Hydrocotyle sibthorpioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,Hydrocotyloideae,,Hydrocotyle,sibthorpioides
Hylotelephium erythrostictum,accepted,163907,Hylotelephium erythrostictum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,erythrostictum
Hylotelephium telephioides,accepted,118744,Hylotelephium telephioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,telephioides
Hylotelephium telephium,accepted,84031,Hylotelephium telephium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,telephium
Hypericum canadense,accepted,155005,Hypericum canadense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,canadense
Hypericum humifusum,accepted,163974,Hypericum humifusum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,humifusum
Hypericum kouytchense,accepted,402661,Hypericum kouytchense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,kouytchense
Hypericum tetrapterum,accepted,207572,Hypericum tetrapterum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,tetrapterum
Iberis sempervirens,accepted,164028,Iberis sempervirens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Iberideae,Iberis,sempervirens
Ilex x altaclerensis,accepted,861032,Ilex,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,
Illecebrum verticillatum,accepted,154802,Illecebrum verticillatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Polycarpeae,Illecebrum,verticillatum
Ionopsidium acaule,accepted,164074,Ionopsidium acaule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cochlearieae,Ionopsidium,acaule
Ipomoea hederacea,accepted,77495,Ipomoea hederacea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Ipomoeeae,Ipomoea,hederacea
Ipomoea purpurea,accepted,52344,Ipomoea purpurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Ipomoeeae,Ipomoea,purpurea
Iris germanica,unaccepted,709635,Iris Ã— germanica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,
Iris versicolor,accepted,48726,Iris versicolor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,versicolor
Isolepis pseudosetacea,accepted,436600,Isolepis pseudosetacea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Isolepis,pseudosetacea
